Date,Champion,Position,Kills,Deaths,Assists,KDA,Win,Damage,Vision,Gold,cs,Kp,damage%,flash
2024-12-17 22:51:06,Viktor,MIDDLE,5,8,7,1.5,True,37308,16,400.882,6.942,0.231,0.23,0
2024-12-17 21:59:57,Soraka,UTILITY,3,8,34,4.625,True,9201,50,297.18,0.752,0.787,0.055,0
2024-12-17 21:17:47,Thresh,UTILITY,1,5,33,6.8,True,15005,46,317.963,1.443,0.756,0.099,0
2024-12-16 20:18:41,Viktor,MIDDLE,9,9,10,2.111,True,43292,19,442.333,6.713,0.413,0.254,0
2024-12-16 19:38:26,Chogath,TOP,11,7,7,2.571,True,31399,15,448.377,5.553,0.692,0.292,0
2024-12-15 19:31:57,Viktor,MIDDLE,3,2,5,4.0,True,20112,12,401.499,7.516,0.229,0.191,0
2024-12-15 18:54:49,Viktor,MIDDLE,3,10,4,0.7,False,18632,15,366.516,7.277,0.368,0.232,0
2024-12-12 22:52:42,Braum,UTILITY,0,4,1,0.25,False,3665,21,200.806,0.998,0.333,0.11,0
2024-12-12 22:11:50,Rell,UTILITY,1,6,7,1.333,False,4306,41,224.616,1.278,1,0.113,0
2024-12-12 20:52:13,Pyke,UTILITY,15,9,18,3.667,False,25402,86,378.676,1.058,0.66,0.189,0
2024-12-10 22:36:40,Poppy,UTILITY,2,7,16,2.571,True,18743,77,303.557,1.261,0.581,0.144,0
2024-12-08 22:04:47,Viktor,MIDDLE,4,7,1,0.714,False,27416,11,376.017,8.041,0.333,0.306,0
2024-12-08 21:32:14,Viktor,MIDDLE,1,6,4,0.833,False,20856,11,334.981,7.992,0.455,0.379,0
2024-12-08 14:17:38,Viktor,MIDDLE,0,5,2,0.4,False,13825,13,326.058,8.298,0.25,0.271,0
2024-12-08 00:08:17,Rakan,UTILITY,4,2,13,8.5,True,7297,24,324.06,1.398,0.708,0.118,0
2024-12-07 23:12:58,Morgana,UTILITY,5,4,19,6.0,True,27249,74,306.529,1.553,0.649,0.198,0
2024-12-07 22:13:34,Alistar,UTILITY,0,5,5,1.0,False,4619,45,208.305,1.16,0.385,0.057,0
2024-12-07 21:22:10,Talon,,6,9,6,1.333,False,14238,0,655.397,1.27,0.571,0.264,0
2024-12-06 00:02:49,Rakan,UTILITY,1,0,8,Perfect KDA,True,4247,16,291.248,1.67,0.529,0.097,0
2024-12-05 23:18:00,Milio,UTILITY,1,11,20,1.909,False,8234,34,219.864,0.536,0.6,0.059,0
2024-12-05 22:32:27,Rakan,UTILITY,2,4,16,4.5,False,8665,95,264.796,1.212,0.667,0.087,0
2024-12-05 22:01:37,Rell,UTILITY,4,2,16,10.0,True,9539,39,321.014,1.46,0.645,0.124,0
2024-12-04 23:22:25,Rell,UTILITY,3,6,19,3.667,True,16377,90,289.593,0.904,0.489,0.141,0
2024-12-04 22:45:54,Swain,UTILITY,7,7,12,2.714,False,23252,24,350.378,2.657,0.633,0.208,0
2024-12-04 16:43:42,Rell,UTILITY,6,8,16,2.75,False,16968,45,308.137,1.054,0.71,0.155,0
2024-12-03 23:14:44,Rell,UTILITY,3,5,23,5.2,True,16288,79,309.769,0.965,0.634,0.131,0
2024-12-03 22:52:15,Rell,UTILITY,2,2,10,6.0,True,5110,19,309.414,1.632,0.545,0.141,0
2024-12-03 22:02:05,Nami,UTILITY,2,7,17,2.714,False,19543,97,253.308,1.033,0.576,0.14,0
2024-12-03 21:17:50,Orianna,MIDDLE,9,7,6,2.143,False,23537,8,455.58,7.065,0.714,0.274,0
2024-12-02 22:43:43,Thresh,UTILITY,3,11,11,1.273,False,14339,48,282.042,1.231,0.483,0.114,0
2024-12-02 22:08:18,Rakan,UTILITY,5,7,31,5.143,True,13177,69,327.575,0.831,0.8,0.106,0
2024-12-02 19:19:55,Velkoz,UTILITY,10,13,11,1.615,False,38777,48,368.483,2.669,0.525,0.266,0
2024-12-01 22:39:53,Rakan,UTILITY,2,8,26,3.5,False,16398,69,268.242,0.684,0.609,0.085,0
2024-12-01 21:58:20,Soraka,UTILITY,0,7,11,1.571,False,9168,54,236.777,1.096,0.44,0.109,0
2024-12-01 21:34:20,Soraka,UTILITY,0,2,8,4.0,True,3317,20,261.522,1.365,0.444,0.091,0
2024-12-01 20:56:02,Yasuo,MIDDLE,2,12,1,0.25,False,10331,9,335.522,6.434,0.13,0.128,0
2024-12-01 20:32:40,KSante,TOP,1,5,0,0.2,False,9355,6,291.043,5.092,0.167,0.3,0
2024-12-01 19:39:00,Alistar,UTILITY,4,10,10,1.4,False,14053,35,302.854,1.043,0.452,0.137,0
2024-11-30 23:15:39,Janna,UTILITY,7,11,29,3.273,True,31374,92,332.92,1.888,0.554,0.119,0
2024-11-30 22:41:12,Thresh,UTILITY,5,1,11,16.0,True,10513,56,356.675,1.76,0.457,0.108,0
2024-11-30 22:08:29,Janna,UTILITY,3,3,19,7.333,True,12129,54,313.242,1.042,0.458,0.11,0
2024-11-30 21:41:17,Rakan,UTILITY,1,5,3,0.8,False,4587,21,285.952,1.548,0.308,0.104,0
2024-11-30 20:56:37,Morgana,UTILITY,6,12,30,3.0,False,28927,82,358.044,1.799,0.621,0.185,0
2024-11-30 20:49:10,Ornn,,0,1,0,0.0,True,201,0,891.094,0.938,0,0.065,0
2024-11-30 13:40:38,Vex,,8,13,39,3.615,True,37850,0,638.349,2.054,0.825,0.221,0
2024-11-30 13:20:58,Vladimir,,6,12,17,1.917,False,13801,0,654.146,1.463,0.697,0.149,0
2024-11-29 21:57:18,Morgana,UTILITY,4,6,18,3.667,True,26624,52,401.462,1.248,0.564,0.237,0
2024-11-29 21:27:36,Rakan,UTILITY,3,3,27,10.0,True,7697,48,358.922,1.251,0.714,0.092,0
2024-11-29 20:53:00,Hwei,MIDDLE,7,1,5,12.0,True,10692,8,535.208,8.665,0.6,0.292,0
2024-11-29 20:23:59,Ornn,TOP,2,0,4,Perfect KDA,True,13461,12,373.87,5.805,0.24,0.191,0
2024-11-29 19:51:35,Xayah,BOTTOM,7,3,4,3.667,True,17875,16,482.724,7.519,0.275,0.182,0
2024-11-28 22:44:03,Rakan,UTILITY,3,5,27,6.0,True,10250,69,335.244,1.336,0.789,0.108,0
2024-11-28 22:05:14,Kassadin,MIDDLE,6,7,5,1.571,False,21375,16,425.359,7.577,0.44,0.226,0
2024-11-28 21:04:42,Hwei,MIDDLE,16,8,12,3.5,True,55522,26,507.753,7.832,0.538,0.282,0
2024-11-28 20:25:54,Hwei,MIDDLE,10,8,10,2.5,False,43326,22,504.15,6.976,0.667,0.358,0
2024-11-27 22:56:28,Malzahar,MIDDLE,0,5,1,0.2,False,6039,7,211.928,3.033,0.021,0.041,0
2024-11-27 22:18:33,Malzahar,MIDDLE,14,7,14,4.0,True,41365,18,522.035,6.769,0.483,0.277,0
2024-11-27 20:54:43,Hwei,MIDDLE,14,9,12,2.889,True,54700,37,374.222,5.409,0.473,0.221,0
2024-11-27 20:20:44,Vex,MIDDLE,6,7,12,2.571,True,34671,14,456.251,6.519,0.514,0.306,0
2024-11-26 23:06:51,Malzahar,MIDDLE,3,4,4,1.75,True,10305,9,462.224,8.799,0.467,0.238,0
2024-11-26 22:11:31,Hwei,MIDDLE,9,5,28,7.4,True,72822,30,455.074,6.959,0.822,0.312,0
2024-11-26 21:26:25,Xerath,MIDDLE,9,5,9,3.6,True,30136,11,441.739,6.86,0.486,0.25,0
2024-11-26 20:33:38,Taliyah,MIDDLE,4,8,12,2.0,False,37652,28,415.22,7.377,0.364,0.208,0
2024-11-25 23:20:41,AurelionSol,MIDDLE,10,10,11,2.1,False,34351,14,468.404,6.373,0.568,0.333,0
2024-11-25 22:45:55,AurelionSol,MIDDLE,10,8,8,2.25,False,21052,16,409.603,5.566,0.545,0.211,0
2024-11-25 21:48:55,Kassadin,MIDDLE,28,10,5,3.3,True,101844,26,530.502,6.983,0.647,0.394,0
2024-11-23 23:37:42,Lissandra,MIDDLE,18,6,14,5.333,True,49317,29,552.563,7.744,0.667,0.351,2
2024-11-23 16:00:50,Vex,MIDDLE,12,7,5,2.429,False,35651,17,445.728,7.234,0.548,0.345,0
2024-11-23 15:25:26,Poppy,TOP,3,5,2,1.0,True,15985,16,365.968,7.326,0.143,0.176,0
2024-11-23 14:36:14,Vex,MIDDLE,2,3,15,5.667,True,24941,20,474.057,7.85,0.415,0.188,0
2024-11-23 14:14:39,Vayne,,6,10,10,1.6,False,12621,0,634.633,0.591,0.381,0.16,0
2024-11-23 14:01:11,Swain,,6,10,15,2.1,False,9294,0,690.05,1.703,0.656,0.18,0
2024-11-22 23:38:39,Vex,MIDDLE,2,7,14,2.286,False,39857,30,383.32,6.868,0.457,0.231,0
2024-11-22 22:04:16,Vex,MIDDLE,7,5,9,3.2,True,34367,27,423.203,7.336,0.39,0.243,0
2024-11-22 21:29:42,Vex,MIDDLE,2,6,6,1.333,False,22577,9,344.82,6.827,0.444,0.371,0
2024-11-22 20:50:58,Hwei,MIDDLE,7,5,4,2.2,False,49656,17,418.867,7.289,0.478,0.4,0
2024-11-20 21:50:44,Kassadin,MIDDLE,8,5,12,4.0,True,27076,15,445.27,6.831,0.513,0.177,0
2024-11-20 20:53:40,Morgana,UTILITY,4,9,24,3.111,True,53080,84,350.007,1.558,0.667,0.216,0
2024-11-20 20:26:38,Morgana,UTILITY,2,1,10,12.0,True,10828,31,361.327,1.93,0.571,0.268,0
2024-11-19 22:34:18,Thresh,UTILITY,2,7,27,4.143,True,19546,64,276.181,0.778,0.659,0.129,0
2024-11-19 21:49:54,Mordekaiser,TOP,8,11,4,1.091,False,23053,19,380.389,5.141,0.414,0.223,0
2024-11-19 20:48:44,Anivia,MIDDLE,3,7,4,1.0,False,19018,14,372.784,6.824,0.28,0.214,0
2024-11-18 23:37:19,Bard,UTILITY,6,5,13,3.8,False,18367,41,323.529,1.569,0.528,0.19,0
2024-11-18 22:47:13,Hwei,MIDDLE,12,6,12,4.0,False,53850,31,414.217,7.657,0.632,0.393,0
2024-11-17 21:55:43,Lissandra,MIDDLE,10,8,9,2.375,False,40821,26,448.788,8.013,0.594,0.249,0
