Date,Champion,Position,Kills,Deaths,Assists,KDA,Win,Damage,Vision,Gold,cs,Kp,damage%,flash
2024-12-12 11:02:44,Alistar,UTILITY,2,2,13,7.5,True,5530,53,307.667,1.237,0.6,0.081,0
2024-12-12 10:30:44,Jhin,BOTTOM,18,4,11,7.25,True,27196,22,625.314,7.87,0.644,0.244,0
2024-12-12 09:39:07,Jhin,BOTTOM,10,7,9,2.714,False,31099,28,482.034,7.841,0.432,0.21,0
2024-12-12 09:02:05,Jhin,BOTTOM,5,2,2,3.5,False,16569,22,472.402,9.282,0.538,0.197,0
2024-12-11 08:39:54,Rell,UTILITY,3,5,17,4.0,True,6986,132,256.08,0.859,0.645,0.064,0
2024-12-08 12:56:22,Lulu,UTILITY,2,4,25,6.75,True,15781,69,380.32,1.575,0.75,0.173,0
2024-12-08 12:29:11,Rakan,UTILITY,2,1,6,8.0,False,4956,75,298.972,1.916,0.5,0.091,0
2024-12-08 11:44:00,Jhin,BOTTOM,3,2,10,6.5,True,17234,28,423.979,8.874,0.5,0.175,0
2024-12-07 22:57:24,Janna,UTILITY,0,6,14,2.333,True,9734,117,297.618,1.99,0.438,0.091,0
2024-12-07 22:16:22,Janna,UTILITY,4,1,22,26.0,True,15992,117,358.023,1.179,0.634,0.164,0
2024-12-07 13:24:59,Janna,UTILITY,4,12,29,2.75,True,16093,164,301.591,1.199,0.717,0.082,0
2024-12-07 12:53:06,Janna,UTILITY,3,3,6,3.0,False,11392,92,276.833,1.552,0.529,0.151,0
2024-12-07 12:14:58,Alistar,UTILITY,1,0,10,Perfect KDA,True,3783,47,275.86,1.72,0.55,0.078,0
2024-12-07 11:46:01,Renata,UTILITY,0,0,11,Perfect KDA,True,4172,78,329.954,1.233,0.733,0.098,0
2024-12-06 18:34:57,Janna,UTILITY,4,2,22,13.0,False,17510,135,291.325,1.39,0.788,0.136,0
2024-12-06 17:35:38,Janna,UTILITY,1,0,8,Perfect KDA,True,10921,89,274.839,1.039,0.6,0.136,0
2024-12-06 16:55:53,Janna,UTILITY,2,1,4,6.0,False,9462,56,276.473,1.253,0.6,0.171,0
2024-12-06 14:27:39,Rakan,UTILITY,1,0,21,Perfect KDA,False,11129,115,285.135,1.449,0.917,0.125,0
2024-12-06 13:35:59,Renata,UTILITY,1,0,23,Perfect KDA,True,8808,84,312.811,1.329,0.828,0.085,0
2024-12-06 13:01:56,Jhin,BOTTOM,1,4,16,4.25,True,11865,24,413.284,7.755,0.607,0.134,0
2024-12-06 12:11:09,Senna,UTILITY,2,6,9,1.833,False,15047,98,285.602,1.858,0.579,0.145,0
2024-12-06 11:39:22,Jhin,BOTTOM,1,2,2,1.5,False,5261,10,346.184,8.078,0.429,0.17,0
2024-12-05 23:43:42,Lulu,UTILITY,1,2,28,14.5,True,13611,136,307.252,1.36,0.935,0.085,0
2024-12-05 21:57:32,Senna,UTILITY,6,2,12,9.0,True,23319,94,365.98,1.807,0.72,0.228,0
2024-12-05 21:26:31,Janna,UTILITY,1,3,8,3.0,False,7714,69,276.224,1.841,0.562,0.118,0
2024-12-05 13:34:01,Leona,UTILITY,2,9,13,1.667,False,11416,110,271.754,1.139,0.652,0.088,0
2024-12-05 12:53:25,Jhin,BOTTOM,7,5,6,2.6,False,24062,31,480.167,9.241,0.52,0.268,0
2024-12-05 12:19:08,Rakan,UTILITY,0,5,4,0.8,False,3916,65,233.167,1.367,0.286,0.066,0
2024-12-05 11:45:46,Braum,UTILITY,0,5,4,0.8,False,6461,65,244.024,1.301,0.571,0.104,0
2024-12-05 11:05:32,Rakan,UTILITY,1,1,23,24.0,True,5746,83,323.918,0.907,0.774,0.057,0
2024-12-04 21:18:02,Rakan,UTILITY,3,0,21,Perfect KDA,True,10556,124,344.324,1.353,0.706,0.114,0
2024-12-04 20:43:56,Rakan,UTILITY,2,1,9,11.0,False,5357,74,288.032,1.536,0.733,0.067,0
2024-11-16 18:48:27,Rakan,UTILITY,2,3,15,5.667,True,10427,157,299.422,1.272,0.68,0.091,0
2024-11-16 18:19:27,Ashe,UTILITY,2,5,3,1.0,False,8634,75,326.014,3.403,0.556,0.162,0
2024-11-16 17:31:09,Rakan,UTILITY,1,3,9,3.333,False,4802,145,240.684,1.336,0.556,0.06,0
2024-11-16 16:51:54,Alistar,UTILITY,1,1,7,8.0,True,4284,57,340.032,1.569,0.421,0.083,0
2024-11-16 16:16:33,Rakan,UTILITY,0,3,9,3.0,False,6400,104,243.907,2.066,0.75,0.095,0
2024-11-16 12:55:12,Braum,UTILITY,1,1,14,15.0,True,3754,30,337.097,1.355,0.75,0.08,0
2024-11-16 12:12:07,Alistar,UTILITY,4,1,21,25.0,True,9093,66,426.415,1.11,0.833,0.101,0
2024-11-16 11:41:00,Rakan,UTILITY,1,2,7,4.0,False,7120,77,288.202,1.896,0.571,0.142,0
2024-11-16 11:04:11,Rakan,UTILITY,1,1,9,10.0,True,4546,109,307.097,1.371,0.417,0.069,0
2024-11-16 10:20:16,Rakan,UTILITY,4,1,13,17.0,True,9058,82,362.554,1.905,0.895,0.125,0
2024-11-16 09:40:47,Rakan,UTILITY,0,2,5,2.5,False,4672,76,240.298,2.298,0.556,0.112,0
2024-11-06 14:07:50,Lulu,UTILITY,1,2,21,11.0,True,7217,98,301.56,1.073,0.688,0.068,0
2024-11-06 13:42:38,Milio,UTILITY,0,0,7,Perfect KDA,True,2368,32,296.515,1.867,0.412,0.058,0
2024-11-06 13:02:19,Rakan,UTILITY,3,0,3,Perfect KDA,False,4167,54,311.031,2.104,0.857,0.153,0
2024-11-06 12:19:44,Thresh,UTILITY,0,1,9,9.0,True,3031,60,255.674,2.022,0.45,0.047,0
2024-11-06 11:42:27,Thresh,UTILITY,3,0,14,Perfect KDA,True,6131,56,351.967,0.817,0.654,0.089,0
2024-11-05 19:15:51,Rell,UTILITY,0,0,28,Perfect KDA,True,8333,148,280.85,1.299,0.718,0.048,0
2024-11-05 18:42:49,Rell,UTILITY,3,2,10,6.5,False,7046,87,295.536,0.819,0.722,0.101,0
2024-11-05 18:05:55,Milio,UTILITY,1,1,7,8.0,False,5043,100,246.86,1.606,0.533,0.083,0
2024-11-05 17:23:03,Rakan,UTILITY,1,1,24,25.0,False,9148,169,296.749,1.369,0.806,0.067,0
2024-11-05 16:37:03,Lulu,UTILITY,3,2,23,13.0,True,13274,109,283.487,1.109,1,0.128,0
2024-11-05 15:55:18,Lulu,UTILITY,0,3,18,6.0,True,6216,78,294.997,1.396,0.581,0.077,0
