Date,Champion,Position,Kills,Deaths,Assists,KDA,Win,Damage,Vision,Gold,cs,Kp,damage%,flash
2024-12-10 01:11:49,Corki,BOTTOM,9,7,4,1.857,False,22718,22,488.912,7.95,0.619,0.316,0
2024-12-10 00:35:23,Syndra,MIDDLE,9,0,3,Perfect KDA,True,17085,18,498.662,8.703,0.522,0.28,0
2024-12-09 23:38:14,Varus,BOTTOM,11,2,11,11.0,True,23600,24,528.539,8.514,0.611,0.227,0
2024-12-09 23:06:54,Corki,BOTTOM,7,1,5,12.0,True,15604,20,483.283,8.898,0.48,0.231,0
2024-12-09 22:32:39,Kalista,BOTTOM,7,3,5,4.0,False,23480,34,462.808,7.738,0.545,0.269,0
2024-12-09 22:02:04,Caitlyn,BOTTOM,0,2,3,1.5,False,8577,6,330.756,7.886,0.429,0.37,0
2024-12-09 21:29:39,Draven,BOTTOM,7,2,5,6.0,True,20139,9,644.28,8.349,0.48,0.369,0
2024-12-09 20:50:31,Ashe,BOTTOM,5,3,14,6.333,True,18444,27,457.418,7.36,0.594,0.184,0
2024-12-09 20:28:46,Ashe,BOTTOM,0,2,3,1.5,True,6106,7,351.592,7.49,0.231,0.218,0
2024-12-09 19:52:29,Corki,BOTTOM,11,4,12,5.75,False,44164,24,472.117,8.046,0.885,0.439,0
2024-12-09 19:11:16,Caitlyn,BOTTOM,6,1,9,15.0,True,29216,21,471.038,8.597,0.714,0.354,0
2024-12-09 17:56:26,Kalista,BOTTOM,9,9,8,1.889,False,36665,27,491.974,7.319,0.548,0.308,0
2024-12-09 17:15:50,Corki,BOTTOM,12,3,6,6.0,False,38173,26,500.257,8.199,0.75,0.389,0
2024-12-09 16:30:58,Caitlyn,BOTTOM,8,5,11,3.8,False,31681,29,510.015,9.699,0.731,0.283,0
2024-12-09 15:52:37,Draven,BOTTOM,9,4,10,4.75,True,23717,21,551.509,7.274,0.463,0.174,0
2024-12-09 15:16:29,Caitlyn,BOTTOM,15,0,4,Perfect KDA,True,31637,26,661.499,9.278,0.633,0.336,2
2024-12-09 01:01:26,Kalista,BOTTOM,4,5,5,1.8,False,13178,25,419.952,7.565,0.562,0.23,0
2024-12-09 00:24:02,Kalista,BOTTOM,7,7,10,2.429,True,24496,36,521.556,8.214,0.436,0.26,0
2024-12-08 23:49:40,Corki,BOTTOM,10,3,8,6.0,True,25086,12,553.083,9.679,0.409,0.206,0
2024-12-08 23:11:06,Corki,BOTTOM,4,6,1,0.833,False,13737,17,399.145,8.517,0.417,0.28,0
2024-12-08 22:35:23,Draven,BOTTOM,9,7,11,2.857,True,31815,17,497.461,6.359,0.455,0.261,0
2024-12-08 22:04:10,Kalista,BOTTOM,7,8,7,1.75,False,20999,20,453.634,6.115,0.667,0.296,0
2024-12-08 21:02:18,Caitlyn,BOTTOM,5,4,12,4.25,True,21338,19,504.532,8.815,0.548,0.206,0
2024-12-08 20:13:08,Corki,BOTTOM,14,5,15,5.8,True,67287,33,498.058,7.566,0.763,0.372,0
2024-12-08 19:40:34,Caitlyn,BOTTOM,1,3,4,1.667,True,12949,16,406.396,8.604,0.278,0.192,0
2024-12-08 18:53:38,Ziggs,BOTTOM,6,2,16,11.0,True,31854,20,430.105,7.526,0.733,0.273,0
2024-12-08 18:18:40,Ezreal,BOTTOM,5,5,6,2.2,False,24490,19,471.669,8.331,0.407,0.265,0
2024-12-08 17:39:33,Ashe,BOTTOM,1,4,11,3.0,False,18153,34,398.657,8.457,0.706,0.203,0
2024-12-08 17:02:58,Sivir,BOTTOM,2,6,7,1.5,False,17885,22,365.941,7.86,0.45,0.2,0
2024-12-08 16:32:40,Jhin,BOTTOM,6,1,7,13.0,True,11217,11,475.951,8.677,0.65,0.177,0
2024-12-08 15:52:29,Draven,BOTTOM,4,7,15,2.714,False,21811,21,397.979,7.078,0.613,0.227,0
2024-12-08 15:11:18,Corki,BOTTOM,12,0,9,Perfect KDA,True,34309,38,526.243,8.82,0.778,0.313,1
2024-12-08 02:49:31,Ashe,BOTTOM,3,5,13,3.2,False,20284,36,383.172,7.804,0.762,0.23,0
2024-12-08 02:15:06,Corki,BOTTOM,4,2,15,9.5,True,23105,40,496.012,8.418,0.633,0.229,0
2024-12-08 01:37:07,Corki,BOTTOM,9,4,9,4.5,False,26120,28,464.853,8.146,0.621,0.253,0
2024-12-08 00:48:08,Corki,BOTTOM,10,10,3,1.3,False,29344,11,484.722,6.106,0.565,0.317,0
2024-12-07 11:17:49,Corki,BOTTOM,7,3,4,3.667,True,21916,36,459.921,8.34,0.355,0.222,0
2024-12-07 02:30:24,Varus,BOTTOM,13,3,7,6.667,True,24810,20,523.24,7.313,0.571,0.298,0
2024-12-07 01:42:40,Caitlyn,BOTTOM,6,4,4,2.5,False,18975,26,471.203,8.915,0.769,0.251,0
2024-12-07 01:01:50,Ashe,BOTTOM,6,5,17,4.6,True,25051,27,522.4,8.696,0.657,0.218,0
2024-12-06 23:15:36,Caitlyn,BOTTOM,5,7,3,1.143,False,18638,11,439.153,7.627,0.4,0.248,0
2024-12-06 22:37:31,Ashe,BOTTOM,6,4,9,3.75,True,14520,29,470.707,7.989,0.652,0.222,0
2024-12-06 22:02:15,Corki,BOTTOM,2,2,4,3.0,False,23946,20,407.763,9.407,0.462,0.35,0
2024-12-06 21:25:20,Corki,BOTTOM,0,5,10,2.0,False,22797,18,345.174,8.037,0.588,0.255,0
2024-12-06 20:49:24,Ashe,BOTTOM,4,5,18,4.4,True,17449,25,495.671,8.312,0.55,0.18,0
2024-12-06 19:51:20,Galio,MIDDLE,5,0,2,Perfect KDA,True,9100,16,522.114,9.314,0.538,0.254,0
